Victimas,FECHA,Año,Mes,Dia,HORA,Franja_Horaria,Tipo_calle,Cruce,Direccion_Normalizada,COMUNA,X,Y,Victima,Acusado,Rol,Sexo,Edad
1,2016-01-03,2016,1,3,07:00:00,7,AVENIDA,No,ENTRE RIOS AV. 2034,1,-58.39040293,-34.63189362,MOTO,AUTO,PEATON,FEMENINO,51-60
1,2016-01-03,2016,1,3,07:00:00,7,AVENIDA,No,ENTRE RIOS AV. 2034,1,-58.39040293,-34.63189362,MOTO,AUTO,CONDUCTOR,MASCULINO,21-30
1,2016-01-03,2016,1,3,07:00:00,7,AVENIDA,No,ENTRE RIOS AV. 2034,1,-58.39040293,-34.63189362,MOTO,AUTO,PEATON,MASCULINO,41-50
1,2016-01-03,2016,1,3,07:00:00,7,AVENIDA,No,ENTRE RIOS AV. 2034,1,-58.39040293,-34.63189362,MOTO,AUTO,CONDUCTOR,MASCULINO,21-30
1,2016-01-10,2016,1,10,00:00:00,0,AVENIDA,"VILLEGAS, CONRADO, GRAL.","LARRAZABAL AV. y VILLEGAS, CONRADO, GRAL.",8,-58.46503904,-34.68092974,MOTO,SD,CONDUCTOR,MASCULINO,11-20
1,2016-01-10,2016,1,10,00:00:00,0,AVENIDA,"VILLEGAS, CONRADO, GRAL.","LARRAZABAL AV. y VILLEGAS, CONRADO, GRAL.",8,-58.46503904,-34.68092974,MOTO,SD,CONDUCTOR,MASCULINO,31-40
1,2016-01-10,2016,1,10,00:00:00,0,AVENIDA,"VILLEGAS, CONRADO, GRAL.","LARRAZABAL AV. y VILLEGAS, CONRADO, GRAL.",8,-58.46503904,-34.68092974,MOTO,SD,CONDUCTOR,MASCULINO,71-80
1,2016-01-10,2016,1,10,00:00:00,0,AVENIDA,"VILLEGAS, CONRADO, GRAL.","LARRAZABAL AV. y VILLEGAS, CONRADO, GRAL.",8,-58.46503904,-34.68092974,MOTO,SD,PEATON,MASCULINO,81+
1,2016-01-10,2016,1,10,00:00:00,0,AVENIDA,"VILLEGAS, CONRADO, GRAL.","LARRAZABAL AV. y VILLEGAS, CONRADO, GRAL.",8,-58.46503904,-34.68092974,MOTO,SD,PEATON,FEMENINO,61-70
1,2016-01-21,2016,1,21,05:20:00,5,AVENIDA,"SAENZ PE?A, LUIS, PRES.","SAN JUAN AV. y SAENZ PEÃ‘A, LUIS, PRES.",1,-58.38718297,-34.6224663,MOTO,PASAJEROS,CONDUCTOR,MASCULINO,21-30
1,2016-01-21,2016,1,21,05:20:00,5,AVENIDA,"SAENZ PE?A, LUIS, PRES.","SAN JUAN AV. y SAENZ PEÃ‘A, LUIS, PRES.",1,-58.38718297,-34.6224663,MOTO,PASAJEROS,PEATON,MASCULINO,51-60
1,2016-01-21,2016,1,21,05:20:00,5,AVENIDA,"SAENZ PE?A, LUIS, PRES.","SAN JUAN AV. y SAENZ PEÃ‘A, LUIS, PRES.",1,-58.38718297,-34.6224663,MOTO,PASAJEROS,CONDUCTOR,MASCULINO,41-50
1,2016-01-21,2016,1,21,05:20:00,5,AVENIDA,"SAENZ PE?A, LUIS, PRES.","SAN JUAN AV. y SAENZ PEÃ‘A, LUIS, PRES.",1,-58.38718297,-34.6224663,MOTO,PASAJEROS,CONDUCTOR,MASCULINO,21-30
1,2016-01-21,2016,1,21,05:20:00,5,AVENIDA,"SAENZ PE?A, LUIS, PRES.","SAN JUAN AV. y SAENZ PEÃ‘A, LUIS, PRES.",1,-58.38718297,-34.6224663,MOTO,PASAJEROS,PEATON,MASCULINO,71-80
1,2016-01-24,2016,1,24,18:30:00,18,AVENIDA,ESCALADA AV.,27 DE FEBRERO AV. y ESCALADA AV.,8,-58.44451316,-34.68475866,MOTO,OBJETO FIJO,CONDUCTOR,MASCULINO,31-40
1,2016-01-24,2016,1,24,18:30:00,18,AVENIDA,ESCALADA AV.,27 DE FEBRERO AV. y ESCALADA AV.,8,-58.44451316,-34.68475866,MOTO,OBJETO FIJO,CONDUCTOR,MASCULINO,21-30
1,2016-01-24,2016,1,24,18:30:00,18,AVENIDA,ESCALADA AV.,27 DE FEBRERO AV. y ESCALADA AV.,8,-58.44451316,-34.68475866,MOTO,OBJETO FIJO,CONDUCTOR,FEMENINO,31-40
1,2016-01-24,2016,1,24,18:30:00,18,AVENIDA,ESCALADA AV.,27 DE FEBRERO AV. y ESCALADA AV.,8,-58.44451316,-34.68475866,MOTO,OBJETO FIJO,CONDUCTOR,MASCULINO,41-50
1,2016-01-24,2016,1,24,18:30:00,18,AVENIDA,ESCALADA AV.,27 DE FEBRERO AV. y ESCALADA AV.,8,-58.44451316,-34.68475866,MOTO,OBJETO FIJO,CONDUCTOR,MASCULINO,41-50
1,2016-01-24,2016,1,24,18:30:00,18,AVENIDA,ESCALADA AV.,27 DE FEBRERO AV. y ESCALADA AV.,8,-58.44451316,-34.68475866,MOTO,OBJETO FIJO,PEATON,MASCULINO,21-30
1,2016-01-24,2016,1,24,19:10:00,19,CALLE,"GONZALEZ, JOAQUIN V.","NOGOYA y GONZALEZ, JOAQUIN V.",11,-58.50095869,-34.6082544,MOTO,AUTO,PASAJERO_ACOMPAÑANTE,MASCULINO,21-30
1,2016-01-24,2016,1,24,19:10:00,19,CALLE,"GONZALEZ, JOAQUIN V.","NOGOYA y GONZALEZ, JOAQUIN V.",11,-58.50095869,-34.6082544,MOTO,AUTO,CONDUCTOR,MASCULINO,31-40
1,2016-01-24,2016,1,24,19:10:00,19,CALLE,"GONZALEZ, JOAQUIN V.","NOGOYA y GONZALEZ, JOAQUIN V.",11,-58.50095869,-34.6082544,MOTO,AUTO,CONDUCTOR,MASCULINO,11-20
1,2016-01-24,2016,1,24,19:10:00,19,CALLE,"GONZALEZ, JOAQUIN V.","NOGOYA y GONZALEZ, JOAQUIN V.",11,-58.50095869,-34.6082544,MOTO,AUTO,CONDUCTOR,MASCULINO,31-40
1,2016-01-24,2016,1,24,19:10:00,19,CALLE,"GONZALEZ, JOAQUIN V.","NOGOYA y GONZALEZ, JOAQUIN V.",11,-58.50095869,-34.6082544,MOTO,AUTO,PEATON,MASCULINO,41-50
1,2016-01-24,2016,1,24,19:10:00,19,CALLE,"GONZALEZ, JOAQUIN V.","NOGOYA y GONZALEZ, JOAQUIN V.",11,-58.50095869,-34.6082544,MOTO,AUTO,CONDUCTOR,MASCULINO,31-40
1,2016-01-29,2016,1,29,15:20:00,15,GRAL PAZ,DE LOS CORRALES AV.,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",9,-58.50877521,-34.66977709,MOTO,AUTO,CONDUCTOR,MASCULINO,11-20
1,2016-01-29,2016,1,29,15:20:00,15,GRAL PAZ,DE LOS CORRALES AV.,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",9,-58.50877521,-34.66977709,MOTO,AUTO,CONDUCTOR,MASCULINO,21-30
1,2016-01-29,2016,1,29,15:20:00,15,GRAL PAZ,DE LOS CORRALES AV.,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",9,-58.50877521,-34.66977709,MOTO,AUTO,CONDUCTOR,MASCULINO,41-50
1,2016-01-29,2016,1,29,15:20:00,15,GRAL PAZ,DE LOS CORRALES AV.,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",9,-58.50877521,-34.66977709,MOTO,AUTO,PEATON,MASCULINO,51-60
1,2016-01-29,2016,1,29,15:20:00,15,GRAL PAZ,DE LOS CORRALES AV.,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",9,-58.50877521,-34.66977709,MOTO,AUTO,CONDUCTOR,MASCULINO,21-30
1,2016-02-08,2016,2,8,01:20:00,1,AVENIDA,"IRIGOYEN, BERNARDO DE","BELGRANO AV. e IRIGOYEN, BERNARDO DE",1,-58.38048577,-34.61303893,MOTO,CARGAS,CONDUCTOR,MASCULINO,21-30
1,2016-02-08,2016,2,8,01:20:00,1,AVENIDA,"IRIGOYEN, BERNARDO DE","BELGRANO AV. e IRIGOYEN, BERNARDO DE",1,-58.38048577,-34.61303893,MOTO,CARGAS,CONDUCTOR,MASCULINO,31-40
1,2016-02-08,2016,2,8,01:20:00,1,AVENIDA,"IRIGOYEN, BERNARDO DE","BELGRANO AV. e IRIGOYEN, BERNARDO DE",1,-58.38048577,-34.61303893,MOTO,CARGAS,CONDUCTOR,MASCULINO,21-30
1,2016-02-08,2016,2,8,01:20:00,1,AVENIDA,"IRIGOYEN, BERNARDO DE","BELGRANO AV. e IRIGOYEN, BERNARDO DE",1,-58.38048577,-34.61303893,MOTO,CARGAS,CONDUCTOR,MASCULINO,31-40
1,2016-02-08,2016,2,8,01:20:00,1,AVENIDA,"IRIGOYEN, BERNARDO DE","BELGRANO AV. e IRIGOYEN, BERNARDO DE",1,-58.38048577,-34.61303893,MOTO,CARGAS,PEATON,FEMENINO,61-70
1,2016-02-10,2016,2,10,11:30:00,11,AVENIDA,No,ENTRE RIOS AV. 1366,1,-58.39114932,-34.62477387,PEATON,AUTO,PEATON,MASCULINO,11-20
1,2016-02-10,2016,2,10,11:30:00,11,AVENIDA,No,ENTRE RIOS AV. 1366,1,-58.39114932,-34.62477387,PEATON,AUTO,PEATON,MASCULINO,0-10
1,2016-02-10,2016,2,10,11:30:00,11,AVENIDA,No,ENTRE RIOS AV. 1366,1,-58.39114932,-34.62477387,PEATON,AUTO,CONDUCTOR,MASCULINO,41-50
1,2016-02-10,2016,2,10,11:30:00,11,AVENIDA,No,ENTRE RIOS AV. 1366,1,-58.39114932,-34.62477387,PEATON,AUTO,PEATON,MASCULINO,31-40
1,2016-02-10,2016,2,10,11:30:00,11,AVENIDA,No,ENTRE RIOS AV. 1366,1,-58.39114932,-34.62477387,PEATON,AUTO,PEATON,FEMENINO,51-60
1,2016-02-10,2016,2,10,11:30:00,11,AVENIDA,No,ENTRE RIOS AV. 1366,1,-58.39114932,-34.62477387,PEATON,AUTO,CONDUCTOR,MASCULINO,41-50
1,2016-02-14,2016,2,14,05:14:00,5,AVENIDA,VERA,"SCALABRINI ORTIZ, RAUL AV. y VERA",15,-58.4376002,-34.59912758,PEATON,AUTO,PEATON,FEMENINO,11-20
1,2016-02-14,2016,2,14,05:14:00,5,AVENIDA,VERA,"SCALABRINI ORTIZ, RAUL AV. y VERA",15,-58.4376002,-34.59912758,PEATON,AUTO,PEATON,MASCULINO,81+
1,2016-02-14,2016,2,14,05:14:00,5,AVENIDA,VERA,"SCALABRINI ORTIZ, RAUL AV. y VERA",15,-58.4376002,-34.59912758,PEATON,AUTO,CONDUCTOR,MASCULINO,21-30
1,2016-02-14,2016,2,14,05:14:00,5,AVENIDA,VERA,"SCALABRINI ORTIZ, RAUL AV. y VERA",15,-58.4376002,-34.59912758,PEATON,AUTO,PASAJERO_ACOMPAÑANTE,MASCULINO,11-20
1,2016-02-14,2016,2,14,05:14:00,5,AVENIDA,VERA,"SCALABRINI ORTIZ, RAUL AV. y VERA",15,-58.4376002,-34.59912758,PEATON,AUTO,CONDUCTOR,MASCULINO,21-30
1,2016-02-14,2016,2,14,05:14:00,5,AVENIDA,VERA,"SCALABRINI ORTIZ, RAUL AV. y VERA",15,-58.4376002,-34.59912758,PEATON,AUTO,CONDUCTOR,MASCULINO,21-30
1,2016-02-14,2016,2,14,05:14:00,5,AVENIDA,VERA,"SCALABRINI ORTIZ, RAUL AV. y VERA",15,-58.4376002,-34.59912758,PEATON,AUTO,CONDUCTOR,MASCULINO,21-30
1,2016-02-14,2016,2,14,22:00:00,22,AVENIDA,"QUINQUELA MARTIN, BENITO","REGIMIENTO DE PATRICIOS AV. y QUINQUELA MARTIN, BENITO",4,-58.36882665,-34.64291993,MOTO,AUTO,PASAJERO_ACOMPAÑANTE,FEMENINO,11-20
1,2016-02-14,2016,2,14,22:00:00,22,AVENIDA,"QUINQUELA MARTIN, BENITO","REGIMIENTO DE PATRICIOS AV. y QUINQUELA MARTIN, BENITO",4,-58.36882665,-34.64291993,MOTO,AUTO,CONDUCTOR,MASCULINO,21-30
1,2016-02-14,2016,2,14,22:00:00,22,AVENIDA,"QUINQUELA MARTIN, BENITO","REGIMIENTO DE PATRICIOS AV. y QUINQUELA MARTIN, BENITO",4,-58.36882665,-34.64291993,MOTO,AUTO,CONDUCTOR,MASCULINO,31-40
1,2016-02-14,2016,2,14,22:00:00,22,AVENIDA,"QUINQUELA MARTIN, BENITO","REGIMIENTO DE PATRICIOS AV. y QUINQUELA MARTIN, BENITO",4,-58.36882665,-34.64291993,MOTO,AUTO,CONDUCTOR,MASCULINO,41-50
1,2016-02-14,2016,2,14,22:00:00,22,AVENIDA,"QUINQUELA MARTIN, BENITO","REGIMIENTO DE PATRICIOS AV. y QUINQUELA MARTIN, BENITO",4,-58.36882665,-34.64291993,MOTO,AUTO,PEATON,MASCULINO,61-70
1,2016-02-14,2016,2,14,22:00:00,22,AVENIDA,"QUINQUELA MARTIN, BENITO","REGIMIENTO DE PATRICIOS AV. y QUINQUELA MARTIN, BENITO",4,-58.36882665,-34.64291993,MOTO,AUTO,CONDUCTOR,MASCULINO,21-30
1,2016-02-15,2016,2,15,16:54:00,16,AVENIDA,"JANER, ANA MARIA","ACOSTA, MARIANO y JANER, ANA MARIA",8,-58.44989671,-34.65970435,PEATON,MOTO,PEATON,MASCULINO,51-60
1,2016-02-15,2016,2,15,16:54:00,16,AVENIDA,"JANER, ANA MARIA","ACOSTA, MARIANO y JANER, ANA MARIA",8,-58.44989671,-34.65970435,PEATON,MOTO,CONDUCTOR,MASCULINO,31-40
1,2016-02-15,2016,2,15,16:54:00,16,AVENIDA,"JANER, ANA MARIA","ACOSTA, MARIANO y JANER, ANA MARIA",8,-58.44989671,-34.65970435,PEATON,MOTO,PEATON,MASCULINO,31-40
1,2016-02-15,2016,2,15,16:54:00,16,AVENIDA,"JANER, ANA MARIA","ACOSTA, MARIANO y JANER, ANA MARIA",8,-58.44989671,-34.65970435,PEATON,MOTO,CONDUCTOR,MASCULINO,21-30
1,2016-02-15,2016,2,15,16:54:00,16,AVENIDA,"JANER, ANA MARIA","ACOSTA, MARIANO y JANER, ANA MARIA",8,-58.44989671,-34.65970435,PEATON,MOTO,CONDUCTOR,MASCULINO,31-40
1,2016-02-17,2016,2,17,09:30:00,9,CALLE,"GARCIA GRANDE DE ZEQUEIRA, SEVERO","DE LA TORRE, LISANDRO y GARCIA GRANDE DE ZEQUEIRA, SEVERO",9,-58.50990884,-34.65468721,PEATON,PASAJEROS,PEATON,FEMENINO,61-70
1,2016-02-17,2016,2,17,09:30:00,9,CALLE,"GARCIA GRANDE DE ZEQUEIRA, SEVERO","DE LA TORRE, LISANDRO y GARCIA GRANDE DE ZEQUEIRA, SEVERO",9,-58.50990884,-34.65468721,PEATON,PASAJEROS,PEATON,FEMENINO,81+
1,2016-02-17,2016,2,17,09:30:00,9,CALLE,"GARCIA GRANDE DE ZEQUEIRA, SEVERO","DE LA TORRE, LISANDRO y GARCIA GRANDE DE ZEQUEIRA, SEVERO",9,-58.50990884,-34.65468721,PEATON,PASAJEROS,PEATON,FEMENINO,81+
1,2016-02-17,2016,2,17,09:30:00,9,CALLE,"GARCIA GRANDE DE ZEQUEIRA, SEVERO","DE LA TORRE, LISANDRO y GARCIA GRANDE DE ZEQUEIRA, SEVERO",9,-58.50990884,-34.65468721,PEATON,PASAJEROS,CONDUCTOR,MASCULINO,31-40
1,2016-02-17,2016,2,17,16:00:00,16,CALLE,No,SUIPACHA 156,1,-58.37952223,-34.60653282,PEATON,AUTO,PEATON,MASCULINO,51-60
1,2016-02-17,2016,2,17,16:00:00,16,CALLE,No,SUIPACHA 156,1,-58.37952223,-34.60653282,PEATON,AUTO,CONDUCTOR,MASCULINO,21-30
1,2016-02-17,2016,2,17,16:00:00,16,CALLE,No,SUIPACHA 156,1,-58.37952223,-34.60653282,PEATON,AUTO,CONDUCTOR,MASCULINO,41-50
1,2016-02-17,2016,2,17,16:00:00,16,CALLE,No,SUIPACHA 156,1,-58.37952223,-34.60653282,PEATON,AUTO,PEATON,FEMENINO,71-80
1,2016-02-17,2016,2,17,23:35:00,23,AVENIDA,CURAPALIGUE,DIRECTORIO AV. y CURAPALIGUE,7,-58.45157703,-34.63063795,AUTO,AUTO,CONDUCTOR,MASCULINO,31-40
1,2016-02-17,2016,2,17,23:35:00,23,AVENIDA,CURAPALIGUE,DIRECTORIO AV. y CURAPALIGUE,7,-58.45157703,-34.63063795,AUTO,AUTO,CONDUCTOR,MASCULINO,41-50
1,2016-02-17,2016,2,17,23:35:00,23,AVENIDA,CURAPALIGUE,DIRECTORIO AV. y CURAPALIGUE,7,-58.45157703,-34.63063795,AUTO,AUTO,PEATON,FEMENINO,61-70
1,2016-02-17,2016,2,17,23:35:00,23,AVENIDA,CURAPALIGUE,DIRECTORIO AV. y CURAPALIGUE,7,-58.45157703,-34.63063795,AUTO,AUTO,CONDUCTOR,MASCULINO,21-30
1,2016-02-17,2016,2,17,23:35:00,23,AVENIDA,CURAPALIGUE,DIRECTORIO AV. y CURAPALIGUE,7,-58.45157703,-34.63063795,AUTO,AUTO,PEATON,FEMENINO,81+
1,2016-02-17,2016,2,17,23:35:00,23,AVENIDA,CURAPALIGUE,DIRECTORIO AV. y CURAPALIGUE,7,-58.45157703,-34.63063795,AUTO,AUTO,CONDUCTOR,MASCULINO,31-40
1,2016-02-21,2016,2,21,06:00:00,6,AVENIDA,"ALSINA, ADOLFO","9 DE JULIO AV. y ALSINA, ADOLFO",1,-58.38144696,-34.61079875,MOTO,AUTO,PASAJERO_ACOMPAÑANTE,MASCULINO,41-50
1,2016-02-21,2016,2,21,06:00:00,6,AVENIDA,"ALSINA, ADOLFO","9 DE JULIO AV. y ALSINA, ADOLFO",1,-58.38144696,-34.61079875,MOTO,AUTO,CONDUCTOR,MASCULINO,21-30
1,2016-02-21,2016,2,21,06:00:00,6,AVENIDA,"ALSINA, ADOLFO","9 DE JULIO AV. y ALSINA, ADOLFO",1,-58.38144696,-34.61079875,MOTO,AUTO,PASAJERO_ACOMPAÑANTE,MASCULINO,41-50
1,2016-02-21,2016,2,21,06:00:00,6,AVENIDA,"ALSINA, ADOLFO","9 DE JULIO AV. y ALSINA, ADOLFO",1,-58.38144696,-34.61079875,MOTO,AUTO,PASAJERO_ACOMPAÑANTE,MASCULINO,61-70
1,2016-02-28,2016,2,28,04:50:00,4,GRAL PAZ,27 DE FEBRERO AV.,"PAZ, GRAL. AV. y 27 DE FEBRERO AV.",8,-58.46244952,-34.70524971,AUTO,AUTO,PASAJERO_ACOMPAÑANTE,MASCULINO,31-40
1,2016-02-28,2016,2,28,04:50:00,4,GRAL PAZ,27 DE FEBRERO AV.,"PAZ, GRAL. AV. y 27 DE FEBRERO AV.",8,-58.46244952,-34.70524971,AUTO,AUTO,CONDUCTOR,MASCULINO,21-30
1,2016-02-28,2016,2,28,04:50:00,4,GRAL PAZ,27 DE FEBRERO AV.,"PAZ, GRAL. AV. y 27 DE FEBRERO AV.",8,-58.46244952,-34.70524971,AUTO,AUTO,PEATON,MASCULINO,71-80
1,2016-02-28,2016,2,28,04:50:00,4,GRAL PAZ,27 DE FEBRERO AV.,"PAZ, GRAL. AV. y 27 DE FEBRERO AV.",8,-58.46244952,-34.70524971,AUTO,AUTO,PEATON,MASCULINO,21-30
1,2016-02-28,2016,2,28,04:50:00,4,GRAL PAZ,27 DE FEBRERO AV.,"PAZ, GRAL. AV. y 27 DE FEBRERO AV.",8,-58.46244952,-34.70524971,AUTO,AUTO,CONDUCTOR,MASCULINO,31-40
1,2016-02-28,2016,2,28,07:30:00,7,CALLE,VEDIA,HOLMBERG y VEDIA,12,-58.49216191,-34.54738649,AUTO,OBJETO FIJO,CONDUCTOR,MASCULINO,31-40
1,2016-02-28,2016,2,28,07:30:00,7,CALLE,VEDIA,HOLMBERG y VEDIA,12,-58.49216191,-34.54738649,AUTO,OBJETO FIJO,PASAJERO_ACOMPAÑANTE,FEMENINO,21-30
1,2016-02-28,2016,2,28,07:30:00,7,CALLE,VEDIA,HOLMBERG y VEDIA,12,-58.49216191,-34.54738649,AUTO,OBJETO FIJO,CONDUCTOR,MASCULINO,11-20
1,2016-02-28,2016,2,28,07:30:00,7,CALLE,VEDIA,HOLMBERG y VEDIA,12,-58.49216191,-34.54738649,AUTO,OBJETO FIJO,CONDUCTOR,MASCULINO,21-30
1,2016-02-28,2016,2,28,07:30:00,7,CALLE,VEDIA,HOLMBERG y VEDIA,12,-58.49216191,-34.54738649,AUTO,OBJETO FIJO,PASAJERO_ACOMPAÑANTE,MASCULINO,31-40
1,2016-02-28,2016,2,28,07:30:00,7,CALLE,VEDIA,HOLMBERG y VEDIA,12,-58.49216191,-34.54738649,AUTO,OBJETO FIJO,CONDUCTOR,MASCULINO,21-30
1,2016-02-28,2016,2,28,07:30:00,7,CALLE,VEDIA,HOLMBERG y VEDIA,12,-58.49216191,-34.54738649,AUTO,OBJETO FIJO,CONDUCTOR,MASCULINO,31-40
1,2016-02-28,2016,2,28,09:35:00,9,AVENIDA,"DIAZ, AVELINO","CURAPALIGUE AV. y DIAZ, AVELINO",7,-58.44497874,-34.63852623,AUTO,AUTO,PASAJERO_ACOMPAÑANTE,MASCULINO,31-40
1,2016-02-28,2016,2,28,09:35:00,9,AVENIDA,"DIAZ, AVELINO","CURAPALIGUE AV. y DIAZ, AVELINO",7,-58.44497874,-34.63852623,AUTO,AUTO,PEATON,FEMENINO,71-80
1,2016-02-28,2016,2,28,09:35:00,9,AVENIDA,"DIAZ, AVELINO","CURAPALIGUE AV. y DIAZ, AVELINO",7,-58.44497874,-34.63852623,AUTO,AUTO,CICLISTA,MASCULINO,31-40
1,2016-02-28,2016,2,28,09:35:00,9,AVENIDA,"DIAZ, AVELINO","CURAPALIGUE AV. y DIAZ, AVELINO",7,-58.44497874,-34.63852623,AUTO,AUTO,PEATON,MASCULINO,71-80
1,2016-02-28,2016,2,28,09:35:00,9,AVENIDA,"DIAZ, AVELINO","CURAPALIGUE AV. y DIAZ, AVELINO",7,-58.44497874,-34.63852623,AUTO,AUTO,CONDUCTOR,FEMENINO,11-20
1,2016-03-02,2016,3,2,10:00:00,10,AVENIDA,9 DE JULIO AV.,VIAMONTE y 9 DE JULIO AV.,1,-58.38199706,-34.60028648,PEATON,CARGAS,PEATON,MASCULINO,51-60
1,2016-03-02,2016,3,2,10:00:00,10,AVENIDA,9 DE JULIO AV.,VIAMONTE y 9 DE JULIO AV.,1,-58.38199706,-34.60028648,PEATON,CARGAS,PEATON,MASCULINO,81+
1,2016-03-02,2016,3,2,10:00:00,10,AVENIDA,9 DE JULIO AV.,VIAMONTE y 9 DE JULIO AV.,1,-58.38199706,-34.60028648,PEATON,CARGAS,PEATON,MASCULINO,71-80
1,2016-03-02,2016,3,2,10:00:00,10,AVENIDA,9 DE JULIO AV.,VIAMONTE y 9 DE JULIO AV.,1,-58.38199706,-34.60028648,PEATON,CARGAS,PEATON,MASCULINO,81+
1,2016-03-04,2016,3,4,17:30:00,17,AVENIDA,DEHEZA,CABILDO AV. y DEHEZA,12,-58.47378664,-34.54153077,PEATON,PASAJEROS,PEATON,MASCULINO,31-40
1,2016-03-04,2016,3,4,17:30:00,17,AVENIDA,DEHEZA,CABILDO AV. y DEHEZA,12,-58.47378664,-34.54153077,PEATON,PASAJEROS,PEATON,MASCULINO,31-40
1,2016-03-04,2016,3,4,17:30:00,17,AVENIDA,DEHEZA,CABILDO AV. y DEHEZA,12,-58.47378664,-34.54153077,PEATON,PASAJEROS,CONDUCTOR,MASCULINO,21-30
1,2016-03-04,2016,3,4,17:30:00,17,AVENIDA,DEHEZA,CABILDO AV. y DEHEZA,12,-58.47378664,-34.54153077,PEATON,PASAJEROS,CONDUCTOR,MASCULINO,21-30
1,2016-03-04,2016,3,4,17:30:00,17,AVENIDA,DEHEZA,CABILDO AV. y DEHEZA,12,-58.47378664,-34.54153077,PEATON,PASAJEROS,PEATON,MASCULINO,81+
1,2016-03-04,2016,3,4,17:30:00,17,AVENIDA,DEHEZA,CABILDO AV. y DEHEZA,12,-58.47378664,-34.54153077,PEATON,PASAJEROS,CONDUCTOR,MASCULINO,21-30
